aerodrome,Repülőtér
arts_centre,Művészeti központ
atm,Bankautomata
auditorium,Auditórium
bank,Bank
bar,Bár
bench,Pad
bicycle_parking,Kerékpártároló
bicycle_rental,Kerékpárkölcsönző
brothel,Bordélyház
bureau_de_change,Pénzváltó
bus_station,Autóbusz-állomás
cafe,Kávézó
car_rental,Autókölcsönző
car_sharing,Autómegosztó
car_wash,Autómosó
casino,Kaszinó
cinema,Mozi
clinic,Klinika
club,Klub
college,Fõiskola
community_centre,Művelődési központ
courthouse,Bíróság
crematorium,Krematórium
dentist,Fogorvos
doctors,Orvosi rendelő
dormitory,Kollégium
drinking_water,Ivóvíz
driving_school,Autósiskola
embassy,Nagykövetség
emergency_phone,Segélyhívó
fast_food,Gyorsétterem
ferry_terminal,Kompkikötő
fire_hydrant,Tűzcsap
fire_station,Tűzoltóság
fountain,Szökőkút
fuel,Benzinkút
grave_yard,Sírkert
gym,Fitness- / Tornaterem
hall,Csarnok
health_centre,Egészségügyi központ
hospital,Kórház
hotel,Szálloda
hunting_stand,Magasles
ice_cream,Fagyizó
kindergarten,Óvoda
library,Könyvtár
market,Piac
marketplace,Vásártér
mountain_rescue,Hegyimentő
nightclub,Éjszakai bár
nursery,Bölcsőde
nursing_home,Idősek otthona
office,Iroda
park,Park
parking,Parkoló
pharmacy,Gyógyszertár
place_of_worship,Vallási hely
police,Rendőrség
post_box,Postaláda
post_office,Posta
preschool,Óvoda
prison,Börtön
pub,Kocsma
public_building,Középület
public_market,Piac
reception_area,Recepció
recycling,Szelektív hulladékgyűjtő
restaurant,Étterem
retirement_home,Nyugdíjasotthon
sauna,Szauna
school,Iskola
shelter,Esőház
shop,Bolt
shopping,Vásárlás
social_club,Társasági klub
studio,Stúdió
supermarket,Szupermarket
taxi,Taxi
telephone,Nyilvános telefon
theatre,Színház
toilets,WC
townhall,Városháza
university,Egyetem
vending_machine,Árusító automata
veterinary,Állatorvosi rendelő
village_hall,Községháza
waste_basket,Szemétgyűjtő kosár
wifi,WiFi hozzáférés
youth_centre,Ifjúsági központ
administrative,Közigazgatási határ
apartments,Társasház
block,Háztömb
bunker,Bunker
chapel,Kápolna
church,Templom
city_hall,Városháza
commercial,Kereskedelmi épület
dormitory,Kollégium
entrance,Bejárat
faculty,Egyetemi épület
farm,Tanya
flats,Lakások
garage,Garázs
hall,Csarnok
hospital,Kórházépület
hotel,Szálloda
house,Ház
industrial,Iparterület
office,Iroda
public,Középület
residential,Lakóház
retail,Kereskedelem
school,Iskola
shop,Bolt
stadium,Stadion
store,Áruház
terrace,Sorház
tower,Torony
train_station,Vasútállomás
university,Egyetem
bridleway,Lovaglóút
bus_guideway,Buszsín
bus_stop,Buszmegálló
byway,Kiépítetlen ösvény
construction,Építés alatt álló út
cycleway,Kerékpárút
distance_marker,Távolságjelölő
emergency_access_point,Vészhelyzeti hozzáférési pont
footway,Gyalogút
ford,Gázló
gate,Kapu
living_street,Pihenőút
minor,Alárendelt út
motorway,Autópálya
motorway_junction,Autópálya-csomópont
motorway_link,Autópálya
path,Ösvény
pedestrian,Sétálóutca
platform,Peron
primary,Főút
primary_link,Főút
raceway,Versenypálya
residential,Lakóövezeti út
road,Ismeretlen út
secondary,Összekötő út
secondary_link,Összekötő út
service,Szervizút
services,Autópálya-pihenőhely
steps,Lépcső
stile,Létra
tertiary,Bekötőút
track,Földút
trail,Túraút
trunk,Autóút
trunk_link,Autóút
unclassified,Egyéb út
unsurfaced,Burkolatlan út
unpaved, Burkolatlan
archaeological_site,Régészeti lelőhely
battlefield,Csatamező
boundary_stone,Határkő
building,Épület
castle,Vár
church,Templom
house,Ház
icon,Ikon
manor,Majorság
memorial,Emlékmű
mine,Bánya
monument,Műemlék
museum,Múzeum
ruins,Rom
tower,Torony
wayside_cross,Útszéli kereszt
wayside_shrine,Útszéli kegyhely
wreck,Hajóroncs
allotments,Zártkert
basin,Medence
brownfield,Barnamező
cemetery,Temető
commercial,Irodaterület
conservation,Védelmi terület
construction,Építési terület
farm,Tanya
farmland,Mezőgazdasági terület
farmyard,Tanyaudvar
forest,Erdő
grass,Füves terület
greenfield,Zöldmező
industrial,Ipari terület
landfill,Hulladéklerakó
meadow,Rét
military,Katonai terület
mine,Bánya
mountain,Hegy
nature_reserve,Természetvédelmi terület
park,Park
piste,Sípálya
plaza,Tér
quarry,Kőfejtő
railway,Vasúti terület
recreation_ground,Szabadidőpark
reservoir,Víztározó
residential,Lakó
retail,Kereskedelem
village_green,Közös mező
vineyard,Szőlős
wetland,Láp
wood,Erdő
beach_resort,Tengerparti üdülőhely
common,Közös terület
fishing,Horgászterület
garden,Kert
golf_course,Golfpálya
ice_rink,Műjégpálya
marina,Kishajókikötő
miniature_golf,Minigolfpálya
nature_reserve,Természetvédelmi terület
park,Park
pitch,Labdarúgópálya
playground,Játszótér
recreation_ground,Szabadidőpark
slipway,Sólya
sports_centre,Sportközpont
stadium,Stadion
swimming_pool,Uszoda
track,Pálya
water_park,Vízipark
bay,Öböl
beach,Strand
cape,Partfok
