
aerodrome,مطار
arts_centre,مركز فني/ثقافي
atm,صراف آلي
auditorium,قاعة محاضرات
bank,مصرف
bar,حانة
bench,مقعد
bicycle_parking,موقف دراجات
bicycle_rental,تأجير دراجة
brothel,بيت دعارة
bureau_de_change,مكتب صرافة
bus_station,محطة حافلات
cafe,مقهى
car_rental,تأجير سيارات
car_sharing,مشاركة سيارات
car_wash,غسيل سيارات
casino,نادي قمار
cinema,سينما
clinic,عيادة
club,نادي
college,كلّية
community_centre,مركز اجتماع
courthouse,محكمة
crematorium,محرقة جثث
dentist,طبيب أسنان
doctors,أطباء
dormitory,عنبر نوم
drinking_water,مياه عذبة
driving_school,مدرسة تعليم قيادة
embassy,سفارة
emergency_phone,هاتف طوارئ
fast_food,وجبات سريعة
ferry_terminal,مرسى عبّارة
fire_hydrant,مواد مكافحة حرائق
fire_station,فوج إطفاء
fountain,نافورة
fuel,وقود
grave_yard,مقبرة
gym,مركز للرشاقة/الرياضة
hall,قاعة
health_centre,مركز صحي
hospital,مستشفى
hotel,فندق
hunting_stand,مربط للصيد
ice_cream,مثلجات
kindergarten,حضانة أطفال
library,مكتبة
market,سوق
marketplace,سوق
mountain_rescue,للإنقاذ في الجبل
nightclub,نادي ليلي
nursery,رعاية تمريضية
nursing_home,دار رعاية مسنين/معاقين
office,مكتب
park,منتزه
parking,موقف سيارات
pharmacy,صيدلية
place_of_worship,معبد
police,شرطة
post_box,صندوق بريد
post_office,مكتب بريد
preschool,روضة أطفال
prison,سجن
pub,حانة
public_building,مبنى عام
public_market,سوق عمومي
reception_area,منطقة استقبال
recycling,نقطة إعادة تصنيع
restaurant,مطعم
retirement_home,بيت مسنين
sauna,حمّام بخاري حار
school,مدرسة
shelter,ملجأ
shop,متجر/دكان/حانوت
shopping,التسوق
social_club,نادي اجتماعي
studio,ستوديو
supermarket,سوبرماركت
taxi,سيارة أجرة
telephone,هاتف عمومي
theatre,مسرح
toilets,مراحيض
townhall,مبنى بلدية
university,جامعة
vending_machine,آلة بيع
veterinary,جراحة بيطرية
village_hall,مبنى/دار القرية
waste_basket,سلة نفايات
wifi,نقطة اتصال لاسلكية واي فاي
youth_centre,مركز نشاطات للشباب
administrative,حدود إدارية
apartments,مجموعة شقق
block,مجمع مباني
bunker,ملجأ محصن
chapel,معبد/مصلى
church,كنيسة
city_hall,دار/قاعة البلدية
commercial,مبنى تجاري
dormitory,عنبر نوم
entrance,مدخل مبنى
faculty,مبنى كلية
farm,مبنى مزرعة
flats,شقق
garage,مرآب
hall,قاعة
hospital,مبنى مستشفى
hotel,فندق
house,منزل
industrial,مبنى صناعي
office,مبنى مكتب
public,مبنى عام
residential,مبنى سكني
retail,مبنى بيع بالمفرق
school,مبنى مدرسة
shop,متجر
stadium,مدرج ألعاب رياضية
store,مخزن
terrace,صف منازل
tower,برج
train_station,محطة قطار
university,مبنى جامعة
&quot;yes&quot;,مبنى
bridleway,مسلك خيول
bus_guideway,مسار خاص للحافلات
bus_stop,موقف حافلات
byway,طريق فرعي
construction,طريق سريع قيد الإنشاء
cycleway,مسار دراجات
distance_marker,إشارة مسافة
emergency_access_point,نقطة دخول طوارئ
footway,ممر للمشاة
ford,مخاضة
gate,بوّابة
living_street,شارع سكني
minor,طريق غير هام
motorway,طريق سريع
motorway_junction,تقاطع طرقات سريعة
motorway_link,طريق سريع
path,مسار
pedestrian,طريق للمشاة
platform,منصة
primary,طريق أولي
primary_link,طريق أولي
raceway,حلبة سباق
residential,طريق سكني
road,طريق
secondary,طريق ثانوي
secondary_link,طريق ثانوي
service,طريق خدمة
services,خدمات الطرق السريعة
steps,درج
stile,مرقى لعبور جدار
tertiary,طريق فرعي
track,مسار
trail,درب
trunk,طريق رئيسي
trunk_link,طريق رئيسي
unclassified,طريق غير مصنّف
unsurfaced,طريق غير معبد
archaeological_site,موقع أثري
battlefield,ساحة معركة
boundary_stone,حجر/صخرة تعليم حدود
building,مبنى
castle,قلعة
church,كنيسة
house,منزل
icon,أيقونة
manor,عزبة
memorial,نصب تذكاري
mine,منجم
monument,ضريح
museum,متحف
ruins,أطلال
tower,برج
wayside_cross,صليب تذكاري
wayside_shrine,مزار جانب طريق
wreck,حطام
allotments,حصص سكنية
basin,حوض
brownfield,أرض مخلفات
cemetery,مقبرة
commercial,منطقة تجارية
conservation,محمية طبيعية
construction,ورشة بناء
farm,مزرعة
